0,1,1,11,3,30,52,7,4,2,21,15,4,1,1,0,127,4,clean
0,0,0,14,5,44,0,9,1,1,36,26,5,2,0,2,8,9,clean
0,0,2,12,1,34,61,2,4,1,1,3,2,6,0,0,45,1,clean
0,3,5,253,22,787,414,21,6,10,210,277,32,5,0,0,94,21,buggy
0,1,0,10,0,28,405,5,3,1,10,13,1,1,0,0,73,0,clean
5,8,3,269,17,708,380,11,2,8,55,172,24,8,1,0,27,5,buggy
1,12,2,59,10,230,0,9,1,2,36,45,12,13,1,0,9,6,buggy
4,1,2,55,12,246,0,8,1,2,28,53,14,4,0,1,8,0,clean
0,2,1,52,6,199,3,12,2,20,66,45,25,6,0,2,10,9,buggy
0,3,0,15,7,58,3,5,2,4,10,28,10,3,0,0,10,5,buggy
1,1,0,18,3,72,385,6,6,0,15,16,3,1,0,0,79,5,clean
0,7,2,65,6,240,61,9,4,3,36,53,9,8,0,0,45,5,buggy
0,0,0,56,6,193,9,24,5,11,276,54,17,10,1,0,42,20,clean
0,0,0,44,5,124,68,9,2,1,36,30,5,1,0,0,33,5,clean
0,0,0,27,6,110,95,16,3,1,120,59,6,7,0,4,73,6,clean
0,0,0,33,3,127,95,20,3,4,190,63,7,7,0,4,82,7,clean
0,1,0,17,3,52,0,10,1,1,45,34,4,1,0,0,17,10,clean
0,2,0,58,13,253,412,8,5,1,28,73,14,2,0,0,94,8,clean
0,0,0,19,4,56,0,6,1,4,15,16,7,3,0,3,8,6,clean
10,10,0,148,31,909,12,38,2,7,703,331,36,27,4,3,36,24,buggy
0,4,3,9,2,39,380,3,3,0,3,13,2,4,0,0,38,3,clean
0,3,0,7,1,28,0,7,1,4,21,12,5,3,0,0,8,5,clean
23,3,0,276,20,1117,0,32,1,2,496,294,20,28,0,24,8,0,clean
0,2,0,1,0,4,0,1,1,1,0,1,1,2,0,0,8,1,clean
0,0,0,21,8,83,18,4,2,1,6,48,8,1,1,0,62,2,clean
0,0,0,39,5,136,10,7,2,1,21,32,6,1,1,1,15,1,clean
0,0,0,20,2,127,0,8,2,1,28,24,3,8,0,8,25,7,clean
0,5,2,37,7,115,56,10,5,10,45,22,17,5,0,0,197,10,buggy
0,4,5,87,23,241,396,8,4,17,28,105,38,4,1,0,57,8,clean
0,0,0,41,5,166,95,15,3,1,105,76,6,3,0,2,73,5,buggy
0,0,0,11,4,44,70,8,8,2,28,19,5,4,1,4,260,7,clean
0,6,0,34,5,107,5,11,3,1,55,21,6,6,1,0,40,11,clean
0,0,1,50,4,121,58,10,2,3,45,51,6,4,0,4,24,1,clean
0,0,1,37,9,155,18,10,2,1,45,77,10,5,0,0,18,10,buggy
2,2,3,273,11,773,28,57,2,126,1596,197,128,12,0,0,16,54,buggy
0,9,1,342,6,1440,8,38,2,19,703,84,24,12,0,0,46,37,clean
0,0,0,23,4,87,96,13,4,2,78,46,6,4,0,2,88,3,clean
0,0,0,15,11,63,0,6,1,1,15,25,12,2,1,0,8,6,clean
0,0,0,8,4,29,70,6,5,1,15,14,5,1,1,0,264,5,clean
2,0,0,24,7,128,15,6,1,0,15,31,7,13,0,0,8,4,buggy
0,0,0,1,0,3,2,1,2,1,0,1,1,0,0,0,33,1,clean
0,0,2,51,18,242,0,11,1,5,55,89,22,5,0,0,8,3,clean
0,0,0,14,0,42,0,14,1,0,91,14,0,0,0,0,22,14,clean
0,4,0,23,7,81,400,9,5,5,36,32,12,4,1,0,65,9,clean
3,0,0,52,15,216,3,6,2,1,15,57,16,2,1,2,12,3,clean
0,0,0,54,7,208,95,24,3,2,276,104,8,14,0,8,73,12,clean
1,6,2,49,11,177,34,10,3,17,45,41,25,9,0,0,24,9,clean
0,2,0,140,18,551,426,13,7,1,78,226,19,2,1,0,124,13,buggy
0,10,0,84,19,451,380,6,3,0,15,172,19,21,0,11,38,6,buggy
0,0,0,10,2,28,34,4,5,1,6,13,3,0,0,0,87,1,clean
0,0,0,22,7,89,50,16,4,1,120,45,8,2,0,0,174,7,clean
0,3,0,38,7,142,384,6,4,1,15,44,8,3,0,0,69,6,clean
4,4,2,426,7,1399,78,42,1,6,861,329,13,58,2,3,8,1,buggy
1,1,3,22,8,126,0,8,1,7,28,56,15,6,0,5,11,7,clean
0,0,0,2,0,7,55,2,5,5,1,3,5,1,1,1,139,2,clean
1,0,4,125,11,482,7,53,2,11,1378,194,21,24,0,0,35,21,clean
0,0,0,4,1,18,0,3,1,1,3,8,2,4,0,4,8,3,clean
0,0,1,4,0,12,0,5,1,2,10,5,2,0,0,0,8,5,clean
0,0,0,1,0,3,4,2,4,1,1,2,1,0,0,0,21,0,clean
0,1,0,13,5,48,49,7,4,18,21,23,23,2,0,1,148,7,clean
0,0,0,15,5,59,394,3,6,1,3,24,6,0,0,0,102,3,clean
0,4,1,7,3,21,28,5,2,5,10,12,8,4,0,0,16,5,clean
0,0,0,32,3,88,0,6,1,1,15,17,4,3,0,3,8,6,clean
0,13,5,166,17,494,384,17,4,5,136,191,22,13,0,0,77,17,buggy
10,0,0,265,13,1585,0,215,1,0,23005,1156,13,17,0,17,212,205,buggy
0,1,0,6,3,25,397,4,5,1,6,17,4,2,0,1,64,4,clean
0,0,3,6,2,18,0,10,1,4,45,13,6,0,0,0,8,8,clean
0,0,0,2,0,7,386,2,7,0,1,2,0,2,0,0,86,2,clean
0,2,0,75,14,336,423,7,6,1,21,132,15,2,0,0,107,7,clean
9,2,0,68,13,254,0,12,1,1,66,116,13,2,0,0,8,3,clean
0,0,0,3,1,10,53,3,5,2,3,5,3,1,1,1,134,3,clean
0,0,0,27,5,57,68,7,2,1,21,16,5,1,0,0,33,4,buggy
30,0,1,159,15,629,5,34,2,3,561,263,18,2,0,2,10,3,buggy
0,0,0,15,2,54,96,11,4,1,55,32,3,2,0,1,88,1,clean
0,1,0,22,4,88,95,14,3,6,91,47,10,6,0,3,76,4,clean
0,0,0,9,1,30,1,6,2,1,15,13,2,3,0,0,12,6,clean
0,5,1,32,6,101,0,13,2,3,78,42,9,5,0,0,18,9,clean
0,2,0,2,1,10,421,2,4,1,1,3,2,2,0,0,68,2,clean
0,1,3,62,18,209,396,7,4,8,21,79,26,1,0,0,57,7,clean
0,0,0,12,3,44,397,3,5,1,3,21,4,0,0,0,94,3,clean
0,0,3,48,10,144,384,18,4,36,153,72,43,0,0,0,69,14,clean
0,0,0,2,0,6,159,2,3,0,1,2,0,1,0,1,30,1,clean
1,1,2,91,13,296,387,9,7,3,36,115,16,1,1,0,101,7,buggy
2,0,0,13,3,35,3,7,1,2,21,17,4,1,0,1,12,5,clean
0,0,0,117,22,343,68,14,2,1,91,107,22,3,2,1,33,3,buggy
0,0,1,29,3,63,67,9,5,2,36,30,5,7,0,0,47,7,buggy
3,2,1,53,6,151,0,10,1,8,45,53,13,2,1,0,8,6,clean
0,0,0,33,9,129,57,13,5,1,78,78,9,0,0,0,202,12,clean
0,2,0,8,2,29,0,3,1,0,3,15,2,2,0,0,0,1,clean
0,0,6,2,0,6,2,3,2,3,3,3,3,1,1,0,14,3,clean
0,1,1,6,1,20,0,4,1,1,6,5,1,1,0,0,8,3,clean
3,0,1,54,7,269,19,27,1,6,351,106,12,12,0,8,0,2,clean
0,1,0,12,2,46,7,7,3,3,21,15,4,1,0,0,22,4,clean
41,10,0,468,44,2116,0,52,1,6,1326,794,44,26,7,15,8,11,buggy
1,0,0,64,11,285,8,23,2,1,253,66,12,23,0,23,40,22,clean
0,1,0,5,3,20,400,3,5,1,3,13,4,2,0,1,65,3,clean
1,0,0,197,31,781,0,23,1,3,253,346,33,5,2,0,15,15,clean
0,13,0,79,19,334,380,7,3,2,21,99,21,16,1,0,38,7,buggy
0,1,11,209,24,580,39,25,1,15,300,157,27,29,1,0,8,9,buggy
0,0,3,36,11,142,18,20,2,8,190,85,19,7,0,0,62,5,clean
2,4,0,41,4,144,0,11,1,8,55,37,12,4,0,0,16,9,clean
3,2,0,48,18,240,17,11,2,1,55,109,19,10,2,6,19,6,clean
0,0,0,82,8,303,99,34,4,3,561,151,10,19,1,8,100,13,clean
