0.000934,0,0,0,0,0,0.004526,0.01184,0.000954,0,0.000943,0,0.000993,0.025009,0.000969,0.001007,0.001036,clean
0.000741,0,0.00091,0,0,0,0,0,0.001815,0,0.002165,0,0.000889,0.001487,0.002523,0.000967,0.000923,clean
0,0,0,0,0,0,0.01461,0,0.004731,0.004007,0.003723,0,0.002827,0.02165,0.003656,0.002917,0,clean
0.001529,0.015913,0.00165,0,0,0,0.043647,0,0.061236,0,0.066868,0.001409,0.010602,0.012864,0.060975,0.027947,0.001669,buggy
0,0,0,0,0,0,0.046042,0,0.006215,0.002825,0.006238,0.001409,0.005223,0.023725,0.006207,0.007285,0,clean
0.002999,0.002636,0.001756,0,0.001194,0.002311,0.043647,0.006412,0.013635,0.001544,0.015784,0.001409,0.001787,0.002695,0.01075,0.00453,0.004114,buggy
0.010001,0,0.012193,0,0.00267,0,0,0,0.024351,0.001331,0.019256,0,0.013064,0.001487,0.016256,0.014814,0.013624,buggy
0,0,0,0.010809,0,0,0,0,0,0.014093,0.016564,0,0,0,0,0,0,clean
0.001609,0.007062,0.002194,0.000472,0.000875,0,0,0,0.008512,0.000804,0.008147,0,0,0,0.005768,0.00681,0.002113,buggy
0,0.003249,0,0,0,0,0.003617,0,0.001023,0,0.001721,0,0.000837,0.002221,0.001061,0.004289,0,buggy
0,0.000838,0,0,0,0,0.043647,0,0,0,0,0.001409,0.000996,0.014073,0,0.00203,0,clean
0.000617,0.000948,0,0,0.001721,0,0.01888,0.000358,0.006457,0.002094,0.011799,0,0.001599,0.02165,0.002799,0.002617,0.000853,buggy
0.002658,0.007063,0.003969,0.000634,0,0,0.005599,0,0.003779,0.001764,0.003528,0.004395,0.00185,0.004151,0.003588,0.007179,0.003794,clean
0,0,0,0,0,0,0.025373,0,0.000694,0,0.000687,0,0.000687,0.006896,0.000683,0.000811,0,clean
0,0,0,0,0,0,0.001421,0,0,0,0,0,0,0.004821,0,0,0,clean
0,0.01277,0,0,0,0,0.001421,0,0,0,0,0,0,0.003929,0,0.012738,0,clean
0,0.00099,0,0,0.000695,0,0,0,0,0.00067,0.000805,0,0,0.001487,0.00083,0.001007,0,clean
0,0,0,0,0,0,0.043647,0,0,0,0.001642,0.001409,0.000996,0.014073,0.003959,0.001118,0,clean
0,0,0,0,0,0,0,0,0.000681,0,0.000708,0,0,0.001487,0.000845,0,0,clean
0.001099,0.005532,0,0.006522,0.001543,0.001038,0.016601,0,0.022977,0.009043,0.04121,0,0.01479,0.005047,0.038409,0.021629,0.001353,buggy
0,0,0,0,0.001311,0,0.043647,0.000798,0.001106,0.001116,0.002246,0.001409,0,0.002695,0.001924,0,0,clean
0.00736,0.001278,0.005303,0,0,0,0,0,0.007223,0,0.00618,0,0.006321,0,0.007697,0.009516,0.007963,clean
0.003901,0,0,0.002586,0,0.003816,0,0,0.013778,0.005379,0.014029,0,0.004154,0.001487,0.013499,0.004355,0.006013,clean
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,clean
0.001617,0,0,0,0,0,0,0,0.002455,0,0.005232,0,0.010659,0.01375,0.004897,0.011721,0.002446,clean
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,clean
0,0,0,0,0,0,0,0,0.000773,0,0.000704,0,0,0.001487,0,0,0,clean
0,0.000855,0,0,0,0,0.042401,0,0,0,0,0.001409,0,0.060148,0,0.000906,0,buggy
0.000617,0.001738,0.000844,0,0.002035,0,0.043647,0,0.028564,0.001871,0.028274,0.001409,0.009981,0.002977,0.018972,0.012616,0.000853,clean
0.000558,0,0,0,0,0,0.001421,0,0.000681,0,0.000708,0,0,0.004821,0.000845,0,0.000688,buggy
0,0,0,0.018394,0,0,0,0,0,0.018915,0.021371,0,0,0,0.02163,0,0,clean
0.004874,0.014864,0.005736,0,0.006873,0,0,0,0.006873,0.00669,0.005591,0,0.006726,0.00753,0.005893,0.025743,0.005116,clean
0,0,0,0,0,0,0.033088,0,0,0,0.001301,0,0,0,0,0,0,clean
0.008844,0.002588,0.008665,0.001296,0.000358,0,0.026917,0.000585,0.017689,0.014949,0.018422,0.00026,0.008935,0.010731,0.011829,0.012562,0.01069,buggy
0.029766,0.039109,0.023098,0,0,0.003145,0.039372,0,0.059715,0.00097,0.06725,0.001409,0.006192,0.002695,0.059202,0.041607,0.037123,buggy
0.003005,0.0035,0.004077,0,0.001136,0,0.001421,0,0.007723,0.001027,0.009088,0,0.001096,0.004391,0.007083,0.003784,0.004235,clean
0,0.006842,0,0,0,0,0.001421,0,0,0,0,0,0,0.005735,0,0.006713,0,clean
0,0.004433,0,0,0,0,0,0,0.00183,0,0.001952,0,0.000735,0.001487,0.001085,0.006106,0,clean
0.002852,0,0,0,0,0,0.021979,0,0.002154,0,0.001716,0,0.001104,0.025186,0.003767,0.001303,0.00303,clean
0.001343,0,0.001564,0,0,0,0,0,0.001745,0,0.00266,0,0.001488,0.001487,0.00351,0.001591,0.00169,buggy
0,0,0,0,0,0,0,0,0,0,0,0,0,0.003131,0,0,0,clean
0,0,0,0,0,0,0,0,0.005166,0,0.004123,0,0.002091,0.002455,0.004464,0.001979,0,clean
0,0,0,0,0,0,0,0,0,0,0,0,0,0.001487,0,0,0,clean
0,0,0,0,0.002662,0,0.043647,0,0.001952,0.002193,0.002092,0.001409,0.001375,0.003869,0.00225,0.001371,0,clean
